abstract_algebra,anatomy,astronomy,business_ethics,clinical_knowledge,college_biology,college_chemistry,college_computer_science,college_mathematics,college_medicine,college_physics,computer_security,conceptual_physics,econometrics,electrical_engineering,elementary_mathematics,formal_logic,global_facts,high_school_biology,high_school_chemistry,high_school_computer_science,high_school_european_history,high_school_geography,high_school_government_and_politics,high_school_macroeconomics,high_school_mathematics,high_school_microeconomics,high_school_physics,high_school_psychology,high_school_statistics,high_school_us_history,high_school_world_history,human_aging,human_sexuality,international_law,jurisprudence,logical_fallacies,machine_learning,management,marketing,medical_genetics,miscellaneous,moral_disputes,moral_scenarios,nutrition,philosophy,prehistory,professional_accounting,professional_law,professional_medicine,professional_psychology,public_relations,security_studies,sociology,us_foreign_policy,virology,world_religions
0.23,0.2519,0.3224,0.4,0.2377,0.2708,0.26,0.31,0.33,0.2601,0.3039,0.2,0.2383,0.3158,0.2759,0.2593,0.254,0.3,0.2839,0.2808,0.27,0.2667,0.3485,0.168,0.2282,0.2852,0.2689,0.2649,0.3028,0.3056,0.3725,0.3755,0.2735,0.2443,0.1983,0.2407,0.4233,0.2143,0.301,0.3463,0.26,0.1877,0.2572,0.238,0.2647,0.2508,0.2994,0.266,0.2692,0.25,0.25,0.2455,0.2694,0.3234,0.31,0.2771,0.3041
0.23,0.2593,0.3158,0.14,0.2528,0.1944,0.26,0.2,0.18,0.2139,0.2843,0.25,0.234,0.2193,0.2828,0.246,0.246,0.32,0.2419,0.3005,0.23,0.33,0.3838,0.285,0.259,0.2259,0.2017,0.2252,0.26,0.2963,0.2941,0.1477,0.2511,0.2595,0.1983,0.2685,0.411,0.1607,0.2913,0.2863,0.31,0.22,0.2572,0.24,0.2418,0.2347,0.2407,0.266,0.21,0.2831,0.258,0.2455,0.2612,0.2886,0.26,0.2651,0.2047
0.21,0.2815,0.25,0.3,0.2264,0.1736,0.23,0.37,0.32,0.2601,0.3039,0.24,0.2553,0.193,0.2414,0.2434,0.3016,0.22,0.2452,0.2857,0.11,0.1697,0.3485,0.3523,0.2462,0.2074,0.2017,0.3113,0.2349,0.2407,0.3333,0.3882,0.2322,0.3511,0.2149,0.2593,0.3804,0.2589,0.2136,0.453,0.31,0.2005,0.211,0.2291,0.2745,0.2508,0.2222,0.2553,0.2282,0.2684,0.2369,0.2364,0.3796,0.2239,0.23,0.241,0.2515
0.3,0.1778,0.1974,0.32,0.2717,0.2986,0.2,0.32,0.21,0.2948,0.2059,0.27,0.2681,0.2807,0.2552,0.2593,0.2381,0.25,0.2258,0.2167,0.25,0.3333,0.3185,0.3679,0.241,0.2444,0.1807,0.2715,0.2862,0.213,0.3235,0.1857,0.2601,0.2901,0.281,0.2593,0.4049,0.2232,0.2621,0.4786,0.23,0.3116,0.2283,0.276,0.2484,0.2701,0.25,0.2801,0.2451,0.3162,0.2794,0.2364,0.3551,0.2587,0.26,0.3133,0.2632
0.29,0.22,0.2895,0.38,0.2679,0.2431,0.22,0.24,0.24,0.2197,0.3333,0.32,0.2979,0.2895,0.2621,0.2116,0.2857,0.22,0.2516,0.2365,0.22,0.1636,0.3687,0.2902,0.2157,0.2074,0.2311,0.2252,0.2844,0.2639,0.2999,0.1899,0.2646,0.2366,0.3223,0.2037,0.3804,0.2679,0.2718,0.4957,0.22,0.3129,0.2457,0.2615,0.2222,0.2412,0.25,0.2666,0.2405,0.2831,0.2435,0.2,0.2163,0.2935,0.22,0.1867,0.2515
